,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
0,2000,200,54.0,273.0,59.0,True
1,2001,404,,,,
2,2002,404,,,,
3,2004,404,,,,
4,2006,404,,,,
5,2007,200,8.0,21.0,6.0,True
6,2008,200,16.0,33.0,5.0,True
7,2009,200,40.0,161.0,32.0,True
8,2010,200,67.0,305.0,60.0,True
9,2011,200,65.0,309.0,42.0,True
10,2012,404,,,,
11,2013,404,,,,
12,2015,200,28.0,106.0,21.0,True
13,2016,200,28.0,105.0,19.0,True
14,2017,200,51.0,132.0,14.0,True
15,2018,200,106.0,348.0,18.0,True
16,2019,200,92.0,529.0,59.0,True
17,2020,200,,,,False
18,2021,200,79.0,296.0,16.0,True
19,2022,200,52.0,191.0,13.0,True
20,2023,200,66.0,319.0,17.0,True
21,2024,200,49.0,196.0,25.0,True
22,2025,200,40.0,139.0,9.0,True
23,2026,200,93.0,372.0,75.0,True
24,2027,200,62.0,304.0,29.0,True
25,2028,200,34.0,129.0,19.0,True
26,2029,200,45.0,133.0,16.0,True
27,2030,200,113.0,467.0,35.0,True
28,2031,200,138.0,694.0,76.0,True
29,2032,200,66.0,324.0,34.0,True
30,2033,200,58.0,214.0,29.0,True
31,2034,200,106.0,394.0,16.0,True
32,2035,200,261.0,,,False
33,2036,200,257.0,,,False
34,2037,200,57.0,201.0,12.0,True
35,2038,200,47.0,187.0,19.0,True
36,2039,200,31.0,120.0,15.0,True
37,2040,200,136.0,512.0,23.0,True
38,2041,200,78.0,289.0,16.0,True
39,2042,200,38.0,170.0,24.0,True
40,2043,200,17.0,55.0,21.0,True
41,2044,200,40.0,127.0,7.0,True
42,2045,200,93.0,343.0,17.0,True
43,2046,200,263.0,928.0,28.0,True
44,2047,200,105.0,542.0,39.0,True
45,2048,200,37.0,150.0,40.0,True
46,2049,200,64.0,208.0,17.0,True
47,2050,200,17.0,30.0,6.0,True
48,2052,404,,,,
49,2055,404,,,,
50,2057,404,,,,
51,2058,404,,,,
52,2059,404,,,,
53,2060,200,63.0,,,False
54,2061,200,34.0,102.0,9.0,True
55,2062,200,34.0,195.0,70.0,True
56,2063,200,50.0,194.0,18.0,True
57,2064,200,39.0,107.0,8.0,True
58,2065,200,122.0,567.0,29.0,True
59,2066,200,175.0,813.0,47.0,True
60,2067,200,83.0,338.0,27.0,True
61,2068,200,114.0,549.0,56.0,True
62,2069,200,141.0,618.0,39.0,True
63,2070,200,112.0,663.0,124.0,True
64,2071,200,85.0,484.0,79.0,True
65,2072,200,54.0,213.0,29.0,True
66,2073,200,112.0,565.0,55.0,True
67,2074,200,189.0,971.0,39.0,True
68,2075,200,147.0,760.0,60.0,True
69,2076,200,198.0,978.0,44.0,True
70,2077,200,233.0,1327.0,72.0,True
71,2079,200,96.0,436.0,24.0,True
72,2080,200,29.0,113.0,16.0,True
73,2081,200,71.0,297.0,36.0,True
74,2082,200,71.0,384.0,77.0,True
75,2083,200,15.0,70.0,16.0,True
76,2084,200,94.0,650.0,211.0,True
77,2085,200,108.0,628.0,181.0,True
78,2086,200,130.0,588.0,31.0,True
79,2087,200,123.0,480.0,24.0,True
80,2088,200,196.0,1066.0,297.0,True
81,2089,200,65.0,238.0,12.0,True
82,2090,200,68.0,524.0,234.0,True
83,2091,404,,,,
84,2092,200,76.0,289.0,20.0,True
85,2093,200,153.0,646.0,30.0,True
86,2094,200,31.0,106.0,,False
87,2095,200,73.0,270.0,20.0,True
88,2096,200,103.0,464.0,27.0,True
89,2097,200,182.0,879.0,144.0,True
90,2099,200,321.0,1303.0,36.0,True
91,2100,200,229.0,1100.0,91.0,True
92,2101,200,240.0,1258.0,160.0,True
93,2102,200,72.0,360.0,22.0,True
94,2103,200,148.0,640.0,43.0,True
95,2104,200,54.0,297.0,26.0,True
96,2105,200,25.0,88.0,8.0,True
97,2106,200,103.0,288.0,13.0,True
98,2107,200,160.0,671.0,29.0,True
99,2108,200,31.0,127.0,19.0,True
100,2109,404,,,,
101,2110,200,107.0,468.0,35.0,True
102,2111,200,150.0,740.0,41.0,True
103,2112,200,275.0,1055.0,49.0,True
104,2113,200,136.0,579.0,26.0,True
105,2114,200,147.0,718.0,89.0,True
106,2115,200,134.0,611.0,39.0,True
107,2116,200,59.0,286.0,26.0,True
108,2117,200,183.0,647.0,16.0,True
109,2118,200,163.0,801.0,36.0,True
110,2119,200,73.0,378.0,25.0,True
111,2120,200,214.0,1087.0,30.0,True
112,2121,200,144.0,692.0,54.0,True
113,2122,200,171.0,731.0,92.0,True
114,2123,404,,,,
115,2124,200,1.0,3.0,3.0,True
116,2125,200,151.0,704.0,50.0,True
117,2126,200,127.0,509.0,36.0,True
118,2127,200,56.0,166.0,18.0,True
119,2128,200,11.0,58.0,13.0,True
