,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
0,2000,200,52.0,238.0,56.0,True
1,2001,404,,,,
2,2002,404,,,,
3,2004,404,,,,
4,2006,404,,,,
5,2007,200,11.0,31.0,9.0,True
6,2008,200,15.0,35.0,5.0,True
7,2009,200,39.0,130.0,13.0,True
8,2010,200,,,,False
9,2011,200,,,,False
10,2012,404,,,,
11,2013,404,,,,
12,2015,200,,,,False
13,2016,200,,,,False
14,2017,200,,,,False
15,2018,200,,,,False
16,2019,200,,,,False
17,2020,200,,,,False
18,2021,200,,,,False
19,2022,200,,,,False
20,2023,200,,,,False
21,2024,200,41.0,147.0,11.0,True
22,2025,200,,,,False
23,2026,200,,,,False
24,2027,200,62.0,281.0,29.0,True
25,2028,200,28.0,113.0,19.0,True
26,2029,200,,,,False
27,2030,200,,,,False
28,2031,200,,,,False
29,2032,200,,,,False
30,2033,200,,,,False
31,2034,200,,,,False
32,2035,200,,,,False
33,2036,200,,,,False
34,2037,200,,,,False
35,2038,200,,,,False
36,2039,200,,,,False
37,2040,200,,,,False
38,2041,200,,,,False
39,2042,200,,,,False
40,2043,200,,,,False
41,2044,200,,,,False
42,2045,200,,,,False
43,2046,200,,,,False
44,2047,200,,,,False
45,2048,200,,,,False
46,2049,200,,,,False
47,2050,200,,,,False
48,2052,404,,,,
49,2055,404,,,,
50,2057,404,,,,
51,2058,404,,,,
52,2059,404,,,,
53,2060,200,,,,False
54,2061,200,,,,False
55,2062,200,,,,False
56,2063,200,,,,False
57,2064,200,,,,False
58,2065,200,,,,False
59,2066,200,,,,False
60,2067,200,,,,False
61,2068,200,,,,False
62,2069,200,,,,False
63,2070,200,,,,False
64,2071,200,,,,False
65,2072,200,,,,False
66,2073,200,110.0,564.0,53.0,True
67,2074,200,,,,False
68,2075,200,,,,False
69,2076,200,,,,False
70,2077,200,,,,False
71,2079,200,,,,False
72,2080,200,,,,False
73,2081,200,,,,False
74,2082,200,,,,False
75,2083,200,,,,False
76,2084,200,,,,False
77,2085,200,,,,False
